t, x, y, phi, u, v, omega, La, x_dot, y_dot, phi_dot, u_dot, v_dot, omega_dot, la
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 3.830389007577845728e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 3.830389007577845728e-01, 5.716778978151544344e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -0.000000000000000000e+00
4.425257890506539534e-04, 5.597557613443755976e-07, 6.325411552364316340e-11, 1.695045917949337044e-04, 2.529822079677130492e-03, 4.288164712501539304e-07, 3.830389007577845728e-01, -5.360205929129023402e-07, 2.529822079677130492e-03, 4.288164712501539304e-07, 3.830389007577845728e-01, 5.716778649644773225e+00, 1.938040608484972076e-03, 0.000000000000000000e+00, -2.422550795408344101e-03
1.400640802927940153e-03, 5.607572694501735464e-06, 2.005641588099574839e-09, 5.364999135100188919e-04, 8.007152361642250887e-03, 4.295836961642517847e-06, 3.830389007577845728e-01, -5.369796588453171665e-06, 8.007152361642250887e-03, 4.295836961642517847e-06, 3.830389007577845728e-01, 5.716775687206208545e+00, 6.134101680145595537e-03, 0.000000000000000000e+00, -7.667628203676951290e-03
3.476998557037515748e-03, 3.455653350770083922e-05, 3.068219366310008193e-08, 1.331825705224053006e-03, 1.987720875298785647e-02, 2.647299321757765774e-05, 3.830389007577845728e-01, -3.309125619595414608e-05, 1.987720875298785647e-02, 2.647299321757765774e-05, 3.830389007577845728e-01, 5.716758697778718812e+00, 1.522748866935163745e-02, 0.000000000000000000e+00, -1.903437771789319444e-02
7.971904755845240706e-03, 1.816537045497150006e-04, 3.697928618390876525e-07, 3.053549634624715212e-03, 4.557333423393978428e-02, 1.391608706182676533e-04, 3.830389007577845728e-01, -1.739514937606436882e-04, 4.557333423393978428e-02, 1.391608706182676533e-04, 3.830389007577845728e-01, 5.716672370088815569e+00, 3.491272261509703601e-02, 0.000000000000000000e+00, -4.364110672716124684e-02
1.767970659639300085e-02, 8.934389339098994806e-04, 4.033612798828448896e-06, 6.772015380402526472e-03, 1.010678849489216879e-01, 6.844437342418371092e-04, 3.830389007577845728e-01, -8.555644768527327117e-04, 1.010678849489216879e-01, 6.844437342418371092e-04, 3.830389007577845728e-01, 5.716254640801333942e+00, 7.742589248447846739e-02, 0.000000000000000000e+00, -9.678458487695454360e-02
3.853805218181460129e-02, 4.244918749961578384e-03, 4.177566614552587871e-05, 1.476157314506840353e-02, 2.202815231614425329e-01, 3.251938019882197675e-03, 3.830389007577845728e-01, -4.065143973663140793e-03, 2.202815231614425329e-01, 3.251938019882197675e-03, 3.830389007577845728e-01, 5.714287736321906230e+00, 1.687530758730282632e-01, 0.000000000000000000e+00, -2.109643294139625647e-01
8.284173305026906742e-02, 1.960983727837625409e-02, 4.148901221374851371e-04, 3.173160636444488647e-02, 4.732700399061002816e-01, 1.502266067756402937e-02, 3.830389007577845728e-01, -1.878305359075492162e-02, 4.732700399061002816e-01, 1.502266067756402937e-02, 3.830389007577845728e-01, 5.705270362952155949e+00, 3.625644360591332993e-01, 0.000000000000000000e+00, -4.534338060067011900e-01
1.745225912427609272e-01, 8.693160412383436897e-02, 3.876499744306818700e-03, 6.684894150702729021e-02, 9.947373810527412319e-01, 6.659634261842656278e-02, 3.830389007577845728e-01, -8.333849902562324996e-02, 9.947373810527412319e-01, 6.659634261842656278e-02, 3.830389007577845728e-01, 5.665759372086710322e+00, 7.620698006033232996e-01, 0.000000000000000000e+00, -9.547196740878376442e-01
3.526420463707687913e-01, 3.533024958135221327e-01, 3.189256177869718295e-02, 1.350756218028349442e-01, 1.991544541755739806e+00, 2.706553562436604388e-01, 3.830389007577845728e-01, -3.398670963570313841e-01, 1.991544541755739806e+00, 2.706553562436604388e-01, 3.830389007577845728e-01, 5.509413429548252417e+00, 1.525822314940882496e+00, 0.000000000000000000e+00, -1.924810828783033667e+00
5.737477665091932355e-01, 9.258919578363593583e-01, 1.365336683762070624e-01, 2.197677137959153648e-01, 3.175393598302127529e+00, 7.093052334978848794e-01, 3.830389007577845728e-01, -8.974239314944004731e-01, 3.175393598302127529e+00, 7.093052334978848794e-01, 3.830389007577845728e-01, 5.173316257495998549e+00, 2.432955414444996300e+00, 0.000000000000000000e+00, -3.116143393535695694e+00
7.365733819962907436e-01, 1.510077774229393821e+00, 2.870808920999203262e-01, 2.821362585673029000e-01, 3.990901045815193893e+00, 1.156836169700161010e+00, 3.830389007577845728e-01, -1.475207934220766015e+00, 3.990901045815193893e+00, 1.156836169700161010e+00, 3.830389007577845728e-01, 4.830522025072626846e+00, 3.057449258796756553e+00, 0.000000000000000000e+00, -3.979134581193476627e+00
1.000475107993856749e+00, 2.723761220942982675e+00, 7.097854531052028015e-01, 3.832208856014926446e-01, 5.175743907147013267e+00, 2.086613252977651101e+00, 3.830389007577845728e-01, -2.706421594298364930e+00, 5.175743907147013267e+00, 2.086613252977651101e+00, 3.830389007577845728e-01, 4.118057389768820187e+00, 3.965551241405645744e+00, 0.000000000000000000e+00, -5.344609864762478679e+00
1.242525717573678357e+00, 4.089682617587333979e+00, 1.338115349013249578e+00, 4.759356850226991731e-01, 6.078144268839607456e+00, 3.133014976448443178e+00, 3.830389007577845728e-01, -4.146691276969109552e+00, 6.078144268839607456e+00, 3.133014976448443178e+00, 3.830389007577845728e-01, 3.316459231720323864e+00, 4.656692927870515142e+00, 0.000000000000000000e+00, -6.548654897604210490e+00
1.589368413220195730e+00, 6.371449058067724103e+00, 2.720819831109783316e+00, 6.087899298990079311e-01, 7.001707740389522705e+00, 4.881025537403699488e+00, 3.830389007577845728e-01, -6.703451167619758344e+00, 7.001707740389522705e+00, 4.881025537403699488e+00, 3.830389007577845728e-01, 1.976882838229226946e+00, 5.364782514430978644e+00, 0.000000000000000000e+00, -8.174628455522150006e+00
2.016437769509059397e+00, 9.487341668015201179e+00, 5.309722684797762327e+00, 7.723741066792289001e-01, 7.459868254386354813e+00, 7.268040188299226934e+00, 3.830389007577845728e-01, -1.058705827196946991e+01, 7.459868254386354813e+00, 7.268040188299226934e+00, 3.830389007577845728e-01, 1.475906251262198154e-01, 5.716178226437744314e+00, -3.544983994178241629e-23, -9.975795136747638736e+00
2.457062823396616302e+00, 1.272659853596837287e+01, 9.063342304861830456e+00, 9.411506429666582907e-01, 7.103259751273842681e+00, 9.749561722124157725e+00, 3.830389007577845728e-01, -1.534051487469914754e+01, 7.103259751273842681e+00, 9.749561722124157725e+00, 3.830389007577845728e-01, -1.753536333367903710e+00, 5.442664697493378334e+00, -8.088981403491764529e-23, -1.155342283429177286e+01
2.933832470915841650e+00, 1.584148760786951549e+01, 1.429917808223236086e+01, 1.123771964667098722e+00, 5.817789071588840955e+00, 1.213580718937816805e+01, 3.830389007577845728e-01, -2.118261207549046787e+01, 5.817789071588840955e+00, 1.213580718937816805e+01, 3.830389007577845728e-01, -3.581693866421908901e+00, 4.457599752221042877e+00, 2.024389032435752239e-22, -1.288966371539706124e+01
3.444475211375146451e+00, 1.827625273702308206e+01, 2.100954389207150896e+01, 1.319367998652573482e+00, 3.596358669307253564e+00, 1.400102404606704454e+01, 3.830389007577845728e-01, -2.802923611769517365e+01, 3.596358669307253564e+00, 1.400102404606704454e+01, 3.830389007577845728e-01, -5.010341421895850189e+00, 2.755414217491891637e+00, -7.807393315166231555e-22, -1.384419032892022727e+01
3.973079995074327186e+00, 1.943545841680500175e+01, 2.869654419499025266e+01, 1.521844193936014111e+00, 7.294349379867702821e-01, 1.488906279284167944e+01, 3.830389007577845728e-01, -3.548622716715334491e+01, 7.294349379867702821e-01, 1.488906279284167944e+01, 3.830389007577845728e-01, -5.689897313733051298e+00, 5.588342405794153311e-01, -1.455911757638485301e-21, -1.427544740973668169e+01
4.239265722394403468e+00, 1.942741722195297527e+01, 3.266585642621820540e+01, 1.623803682326107500e+00, -7.896429978104888558e-01, 1.488290258149511480e+01, 3.830389007577845728e-01, -3.928888495752475762e+01, -7.896429978104888558e-01, 1.488290258149511480e+01, 3.830389007577845728e-01, -5.684676704166524708e+00, -6.049278871403239721e-01, 0.000000000000000000e+00, -1.427186530823222199e+01
4.340197174299246008e+00, 1.931885583944398377e+01, 3.416418361173868590e+01, 1.662464354715625481e+00, -1.360475468430900392e+00, 1.479973611121683597e+01, 3.830389007577845728e-01, -4.072752985188397190e+01, -1.360475468430900392e+00, 1.479973611121683597e+01, 3.830389007577845728e-01, -5.620969056897288318e+00, -1.042229920672587573e+00, 0.000000000000000000e+00, -1.423193886786931373e+01
4.519326652795085941e+00, 1.898587907648515838e+01, 3.679443642009753290e+01, 1.731077913251987344e+00, -2.351410261920011013e+00, 1.454464998531193132e+01, 3.830389007577845728e-01, -4.326685355524671195e+01, -2.351410261920011013e+00, 1.454464998531193132e+01, 3.830389007577845728e-01, -5.425530862774420093e+00, -1.801359170186592973e+00, 0.000000000000000000e+00, -1.410872754931101980e+01
4.679887755107975167e+00, 1.853943844476416203e+01, 3.910368604065017450e+01, 1.792579061386374573e+00, -3.202582863190599483e+00, 1.420264171173460355e+01, 3.830389007577845728e-01, -4.551948527004957867e+01, -3.202582863190599483e+00, 1.420264171173460355e+01, 3.830389007577845728e-01, -5.163523921558561547e+00, -2.453421754581533332e+00, 0.000000000000000000e+00, -1.394185860053334736e+01
4.976009675229246199e+00, 1.737377469728726709e+01, 4.318521659466085794e+01, 1.906005276159910666e+00, -4.636491303011820442e+00, 1.330965209135639071e+01, 3.830389007577845728e-01, -4.958640052534040876e+01, -4.636491303011820442e+00, 1.330965209135639071e+01, 3.830389007577845728e-01, -4.479245955650224431e+00, -3.551835430703607521e+00, 0.000000000000000000e+00, -1.349620691102402681e+01
5.204249978934743837e+00, 1.620454635549551270e+01, 4.612394538534780253e+01, 1.993430191199887513e+00, -5.582985624722532236e+00, 1.241393253776763927e+01, 3.830389007577845728e-01, -5.261603954158534435e+01, -5.582985624722532236e+00, 1.241393253776763927e+01, 3.830389007577845728e-01, -3.793112482975260935e+00, -4.276935175493242092e+00, 0.000000000000000000e+00, -1.303422237476028123e+01
5.598206475085174993e+00, 1.374619868384176868e+01, 5.065562907794305403e+01, 2.144330854431736988e+00, -6.802445082185062830e+00, 1.053064652060261785e+01, 3.830389007577845728e-01, -5.755765446469057167e+01, -6.802445082185062830e+00, 1.053064652060261785e+01, 3.830389007577845728e-01, -2.349671442048205883e+00, -5.210658187197658719e+00, 3.090424778908231268e-22, -1.200381319985370965e+01
5.931653516368140089e+00, 1.137256745611700204e+01, 5.386781454983809425e+01, 2.272054042585699651e+00, -7.356985858899361297e+00, 8.712259183851843503e+00, 3.830389007577845728e-01, -6.138492299493680093e+01, -7.356985858899361297e+00, 8.712259183851843503e+00, 3.830389007577845728e-01, -9.569207079789628922e-01, -5.635561255246956947e+00, 0.000000000000000000e+00, -1.091857650759147269e+01
6.438016179558820440e+00, 7.618776576001497602e+00, 5.755009108525504757e+01, 2.466010640479042060e+00, -7.283133655208649415e+00, 5.836559916189457020e+00, 3.830389007577845728e-01, -6.642816017745278145e+01, -7.283133655208649415e+00, 5.836559916189457020e+00, 3.830389007577845728e-01, 1.247464502374779238e+00, -5.577013273098371471e+00, -2.200795154934773210e-21, -8.933596744076440999e+00
6.985361081175761377e+00, 3.932042054862168179e+00, 5.994696004534995382e+01, 2.675665029929772842e+00, -5.990272877013822495e+00, 3.012228038174688205e+00, 3.830389007577845728e-01, -7.064673114314673796e+01, -5.990272877013822495e+00, 3.012228038174688205e+00, 3.830389007577845728e-01, 3.411227953769589316e+00, -4.584935882077024516e+00, -2.950396169801018384e-22, -6.414973162071677670e+00
7.224968055138150547e+00, 2.602366023455035204e+00, 6.054332700593199235e+01, 2.767443821850225749e+00, -5.077356095465134445e+00, 1.993592785598546024e+00, 3.830389007577845728e-01, -7.204271520428260089e+01, -5.077356095465134445e+00, 1.993592785598546024e+00, 3.830389007577845728e-01, 4.189684471669819388e+00, -3.889267585220117951e+00, 0.000000000000000000e+00, -5.222909127557759490e+00
