t, Ue, U1, U2, U3, U4, U5
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 3.000000000000000000e+00, 3.000000000000000000e+00, 6.000000000000000000e+00, 0.000000000000000000e+00
2.002002002002002093e-04, 5.018321207211842716e-02, 4.109769533096770122e-02, 3.040186692131079393e+00, 2.967277131980320171e+00, 5.930808945005994204e+00, -6.903931943710855945e-02
4.004004004004004186e-04, 9.957342178675666899e-02, 8.065949569476837944e-02, 3.076977924397402031e+00, 2.941706250781161547e+00, 5.193385952573924769e+00, -8.040650698536142560e-01
6.006006006006006821e-04, 1.473901579240999848e-01, 1.177862741169914684e-01, 3.109216448725015347e+00, 2.945908816620250725e+00, 3.616547630641979261e+00, -2.368751255360134422e+00
8.008008008008008372e-04, 1.928778135208191191e-01, 1.554818194898433537e-01, 3.140163364176569605e+00, 2.972746188773613962e+00, 3.199094437045554518e+00, -2.766578960333910597e+00
1.001001001001000992e-03, 2.353175860803220498e-01, 1.918067959726591776e-01, 3.168370675570337358e+00, 3.001599080221009963e+00, 3.257316193448142716e+00, -2.688036340992512763e+00
1.201201201201201364e-03, 2.740388361935123807e-01, 2.254413926523098077e-01, 3.192768856130439037e+00, 3.027465309948567551e+00, 3.396950742385392186e+00, -2.529039327250917069e+00
1.401401401401401519e-03, 3.084296850794899236e-01, 2.557425773216190357e-01, 3.212914467945549912e+00, 3.049416704620016016e+00, 3.560376498646055765e+00, -2.347524580427562402e+00
1.601601601601601674e-03, 3.379466835823271564e-01, 2.822107729438394497e-01, 3.228511779478913102e+00, 3.067111914752923330e+00, 3.737921811098705582e+00, -2.153286486946978329e+00
1.801801801801801830e-03, 3.621233998330387061e-01, 3.044181173778456873e-01, 3.239345397322481723e+00, 3.080347036116163562e+00, 3.925485964068560207e+00, -1.950503745282330392e+00
2.002002002002001985e-03, 3.805777898732707332e-01, 3.220056875081097614e-01, 3.245275090470333801e+00, 3.089004289756873689e+00, 4.119510171239727292e+00, -1.742785053384472649e+00
2.202202202202202357e-03, 3.930182347690511224e-01, 3.346879366883780405e-01, 3.246236944845060535e+00, 3.093047249088939576e+00, 4.316388696807024417e+00, -1.533759360578211384e+00
2.402402402402402729e-03, 3.992481488152585523e-01, 3.422571362190916511e-01, 3.242244343592983302e+00, 3.092521490914307059e+00, 4.512457942938969069e+00, -1.327086363749699682e+00
2.602602602602602667e-03, 3.991690860112973027e-01, 3.445864624286616440e-01, 3.233387625168725243e+00, 3.087553792760572513e+00, 4.704048882170932089e+00, -1.126404141613327692e+00
2.802802802802803039e-03, 3.927822957190026942e-01, 3.416323245511872497e-01, 3.219833015707426416e+00, 3.078350524421490153e+00, 4.887563870103353914e+00, -9.352526763911747087e-01
3.003003003003002977e-03, 3.801887029200445856e-01, 3.334348625607914673e-01, 3.201819886625495215e+00, 3.065193156697632482e+00, 5.059610545809525739e+00, -7.569412484114002027e-01
3.203203203203203349e-03, 3.615873133848064302e-01, 3.201176701272841485e-01, 3.179657399696575570e+00, 3.048431562716441334e+00, 5.217130244213818102e+00, -5.944220593479310200e-01
3.403403403403403721e-03, 3.372720689544888573e-01, 3.018859351205325225e-01, 3.153719862909289517e+00, 3.028473093758721646e+00, 5.357589659632772339e+00, -4.501020241099889518e-01
3.603603603603603659e-03, 3.076272026297266482e-01, 2.790235625939080366e-01, 3.124441337226882442e+00, 3.005768057599965903e+00, 5.479185287019939565e+00, -3.256429999659162799e-01
3.803803803803804031e-03, 2.731211668652755442e-01, 2.518889222642515247e-01, 3.092309257752071439e+00, 2.980790176921799262e+00, 5.581056797253129531e+00, -2.217547834205984558e-01
4.004004004004003969e-03, 2.342992310167357484e-01, 2.209093708115857646e-01, 3.057857195593424837e+00, 2.954013706941819084e+00, 5.663424748268460540e+00, -1.380649236505625821e-01
4.204204204204204341e-03, 1.917748649155238405e-01, 1.865744588804837401e-01, 3.021656652842384272e+00, 2.925887951380114593e+00, 5.727585803827834887e+00, -7.313194870101427658e-02
4.404404404404404713e-03, 1.462200447300874562e-01, 1.494278128928742400e-01, 2.984307992086447481e+00, 2.896817987675218031e+00, 5.775738105648630771e+00, -2.462644233862748555e-02
4.604604604604605085e-03, 9.835463430154005315e-02, 1.100579658437576269e-01, 2.946430398945761642e+00, 2.867145347318589277e+00, 5.810599513827989782e+00, 1.028068181748675869e-02
4.804804804804805457e-03, 4.893500975138274922e-02, 6.908823493399862681e-02, 2.908651379841659335e+00, 2.837144752423511829e+00, 5.834994877430254689e+00, 3.450421006542195301e-02
5.005005005005004962e-03, -1.257892883094577103e-03, 2.716644000541500181e-02, 2.871596317336813975e+00, 2.807027756858299750e+00, 5.851481714404266121e+00, 5.067135543699784195e-02
5.205205205205205334e-03, -5.143091811274757424e-02, -1.504576604521268290e-02, 2.835877761401421449e+00, 2.776945496436090011e+00, 5.862104136242187735e+00, 6.087638949511169073e-02
5.405405405405405705e-03, -1.007912245540500823e-01, -5.688345450598678021e-02, 2.802085760279757753e+00, 2.747018288652863127e+00, 5.868237833455337338e+00, 6.653539022720639240e-02
5.605605605605606077e-03, -1.485588135230273277e-01, -9.768874681718797692e-02, 2.770778095481402303e+00, 2.717333098401758740e+00, 5.870738927993458312e+00, 6.853405954487783169e-02
5.805805805805806449e-03, -1.939788546869952446e-01, -1.368215125855295478e-01, 2.742471052490500050e+00, 2.687963879684123203e+00, 5.869607732964706948e+00, 6.689817254272432956e-02
6.006006006006005954e-03, -2.363336140023832577e-01, -1.736701448564700323e-01, 2.717630351574298775e+00, 2.659000850946707573e+00, 5.863576007154462921e+00, 6.039054005719032836e-02
6.206206206206206326e-03, -2.749537954516442229e-01, -2.076623632202552749e-01, 2.696662049273516715e+00, 2.630579895181749617e+00, 5.849668993770635872e+00, 4.608279745453967846e-02
6.406406406406406698e-03, -3.092291173554872485e-01, -2.382788726613731811e-01, 2.679900465124755105e+00, 2.602937947978254396e+00, 5.820395546291613265e+00, 1.656393370009321547e-02
6.606606606606607070e-03, -3.386179561320243891e-01, -2.650707634666151225e-01, 2.667591329546805223e+00, 2.576574707268990405e+00, 5.758693481040482176e+00, -4.506051136724649464e-02
6.806806806806807442e-03, -3.626559051107558496e-01, -2.876814605094232258e-01, 2.659868195605806118e+00, 2.552545989849827279e+00, 5.629566583370218424e+00, -1.734337188572058486e-01
