t, x, y, z, e_y1, e_y2, e_y3, p0, p1, p2, p3, norm_P
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
1.001001001001000992e-02, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 8.902440134068961050e-16, 1.000000000000000000e+00, 1.009869121838740990e-12, 9.949941516411476838e-01, 5.024514174606033979e-13, 9.993301537359555731e-02, 5.001673944557846262e-14, 9.999999846808730330e-01
2.002002002002001985e-02, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.419059868436165782e-14, 1.000000000000000000e+00, 2.071807505641915024e-12, 9.800270760759790534e-01, 1.016624737280429665e-12, 1.988656488084108165e-01, 1.990520864396060913e-13, 1.000000308058964116e+00
3.003003003003002977e-02, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 7.112596749946381993e-14, 1.000000000000000000e+00, 3.232214580040346538e-12, 9.552476166481482789e-01, 1.554302418712147938e-12, 2.958070601362047247e-01, 4.440844908577279815e-13, 9.999999129691921063e-01
4.004004004004003969e-02, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.225638571515232100e-13, 1.000000000000000000e+00, 4.526228316806466681e-12, 9.209150659851252918e-01, 2.127512969168187042e-12, 3.897941490191784708e-01, 7.796674529107431495e-13, 1.000012018611763143e+00
5.005005005005004615e-02, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 5.325193720520909456e-13, 1.000000000000000000e+00, 5.973375231316598957e-12, 8.773333467360937554e-01, 2.748088225520139127e-12, 4.798607927709384047e-01, 1.199595785566803228e-12, 9.999900908178582792e-01
6.006006006006005954e-02, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.082214368347606306e-12, 1.000000000000000000e+00, 7.570230287543470916e-12, 8.249908585577995224e-01, 3.428484024953371176e-12, 5.651350447692020662e-01, 1.692692735788684578e-12, 9.999937677456911533e-01
7.007007007007007293e-02, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.964494998913902063e-12, 1.000000000000000000e+00, 9.282818421848989672e-12, 7.644567589325721446e-01, 4.181583456529450344e-12, 6.448749572959178167e-01, 2.242242826783329468e-12, 1.000128915103000393e+00
8.008008008008007939e-02, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 3.251282830520156164e-12, 1.000000000000000000e+00, 1.106948605599908464e-11, 6.962003366656264181e-01, 5.020623448035780916e-12, 7.180756331789291957e-01, 2.842592003711783017e-12, 1.000163748462546298e+00
9.009009009009008584e-02, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 5.019399994981862970e-12, 1.000000000000000000e+00, 1.285127384151351448e-11, 6.208880708831040485e-01, 5.957013502667120575e-12, 7.839232548552118596e-01, 3.478963419499982311e-12, 1.000018832856527817e+00
1.001001001001000923e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 7.344957372660542928e-12, 1.000000000000000000e+00, 1.449936222957097361e-11, 5.393780781458512585e-01, 7.002264837972744281e-12, 8.419234079201987075e-01, 4.122821734630479950e-12, 9.998818610157268472e-01
1.101101101101101126e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.027269564543346456e-11, 1.000000000000000000e+00, 1.585940005642028035e-11, 4.525284750147143265e-01, 8.167888671501930220e-12, 8.915816779693224170e-01, 4.745631609585827724e-12, 9.998499433363665645e-01
1.201201201201201191e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.381103326379191741e-11, 1.000000000000000000e+00, 1.675907682549868803e-11, 3.611973780505396414e-01, 9.465396220803950121e-12, 9.324036505980157763e-01, 5.318857704848577828e-12, 9.999200535838308479e-01
1.301301301301301394e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.792958015218971319e-11, 1.000000000000000000e+00, 1.701591392555347328e-11, 2.662429038141731485e-01, 1.090629870342808863e-11, 9.638949114017115738e-01, 5.813964680901281650e-12, 9.999893419719614318e-01
1.401401401401401459e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.248724151059169420e-11, 1.000000000000000000e+00, 1.625715684059599603e-11, 1.682343573295136119e-01, 1.245972252509102257e-11, 9.865341956971557247e-01, 6.127557262205965393e-12, 1.000775958077485095e+00
1.501501501501501523e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.748691186017453430e-11, 1.000000000000000000e+00, 1.458972241726742389e-11, 6.876881340453405711e-02, 1.422425009924274014e-11, 9.984818389043359499e-01, 6.338665277758886641e-12, 1.000847207279338846e+00
1.601601601601601588e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 3.272649180589933950e-11, 1.000000000000000000e+00, 1.174472369288456428e-11, -3.120280782894713223e-02, 1.617946167913924689e-11, 9.999663852992797253e-01, 6.382743666123837891e-12, 1.000453090826810110e+00
